GlobalID,CreationDate,Rank the strategies you would like to see implemented for enhancing roadway safety.,,,,,,,,,,,
48b9e1ee-5565-499d-83e7-207c7629dc01,10/25/2024 12:47,"lower_speeds,enforcement_response,awareness_education,equitable_access,multimodal_access,roadway_facilities",,,,,,,,,,,
3bc86574-afb9-45e6-8a54-f69c444cf663,10/25/2024 19:32,"lower_speeds,enforcement_response,awareness_education,equitable_access,roadway_facilities,multimodal_access",,,,,,,,,,,
80f89b60-333d-4948-8dd1-30fc35b68d96,10/25/2024 20:03,"roadway_facilities,multimodal_access,awareness_education,lower_speeds,enforcement_response,equitable_access",,,,,,,,,,,
281ba2c9-95eb-4d12-8ac9-d94efc2742e6,10/25/2024 21:12,"enforcement_response,equitable_access,lower_speeds,awareness_education,multimodal_access,roadway_facilities",,,,,,,,,,,
c251232e-ab8f-4df1-88e9-7a1f9ac4474e,10/25/2024 21:15,"roadway_facilities,lower_speeds,multimodal_access,equitable_access,awareness_education,enforcement_response",,,,,,,,,,,
66cf3338-1232-4fab-85df-ab36640aef8e,10/25/2024 21:19,"roadway_facilities,lower_speeds,equitable_access,enforcement_response,awareness_education,multimodal_access",,,,,,,,,,,
6d557733-c2b5-43b0-86bf-3a12ee288f14,10/25/2024 21:48,"roadway_facilities,awareness_education,enforcement_response,multimodal_access,lower_speeds,equitable_access",,,,,,,,,,,
018d21e4-cd5c-4bcf-8a12-4a64f5a41138,10/25/2024 22:58,"awareness_education,lower_speeds,roadway_facilities,enforcement_response,multimodal_access,equitable_access",,,,,,,,,,,
190367c7-d063-4a24-8531-32a207e4b6fd,10/26/2024 2:58,"roadway_facilities,lower_speeds,enforcement_response,awareness_education,equitable_access,multimodal_access",,,,,,,,,,,
43c86210-4504-46f0-8b29-b728af06f21b,10/26/2024 3:39,"lower_speeds,roadway_facilities,enforcement_response,multimodal_access,equitable_access,awareness_education",,,,,,,,,,,
adf4e432-c0d0-4759-853a-445f0b4b00e3,10/26/2024 10:25,"roadway_facilities,lower_speeds,multimodal_access,awareness_education,enforcement_response,equitable_access",,,,,,,,,,,
9b8debba-5e9d-4483-8823-3f1a888d773c,10/26/2024 14:40,"roadway_facilities,awareness_education,enforcement_response,equitable_access,multimodal_access,lower_speeds",,,,,,,,,,,
82e46b75-b9bd-4b54-8966-c44dfb0f9783,10/27/2024 2:38,"roadway_facilities,multimodal_access,enforcement_response,equitable_access,lower_speeds,awareness_education",,,,,,,,,,,
ab7f9abb-e326-4b1d-8ab9-0aef1a4e0259,10/27/2024 16:01,"roadway_facilities,equitable_access,multimodal_access,lower_speeds,awareness_education,enforcement_response",,,,,,,,,,,
9a7cad14-498e-4932-8f74-f9790d4d9e57,10/27/2024 18:51,"equitable_access,enforcement_response,roadway_facilities,multimodal_access,awareness_education,lower_speeds",,,,,,,,,,,
0d343259-06cb-4bd3-8d56-494da362f811,10/28/2024 2:43,"enforcement_response,awareness_education,multimodal_access,lower_speeds,roadway_facilities,equitable_access",,,,,,,,,,,
b1c3f9d0-6336-4299-89ce-188d4aa757f0,10/28/2024 17:30,"roadway_facilities,multimodal_access,lower_speeds,enforcement_response,awareness_education,equitable_access",,,,,,,,,,,
